Codigo;Nome;Barra;Submercado
109; D4MOIO _Moin ;0; S       
110; D4OURO _Ouro ;0; S       
111; D5TUPI _Tupi ;0; S       
112; 5G967  _MMGD ;0; S       
113; D4ALTG _Alto ;0; S       
114; D4MARU _Maru ;0; S       
115; COUHMP _PCH  ;0; S       
116; 5G986  _MMGD ;0; S       
117; D4NOVA _Nova ;0; S       
118; D4TUBR _Tuba ;0; S       
119; D5TUBA _Tuba ;0; S       
120; 5G1014 _MMGD ;0; SE      
121; 5G1019 _MMGD ;0; SE      
122; 5G1023 _MMGD ;0; S       
123; 5G1024 _MMGD ;0; S       
124; 5G1035 _MMGD ;0; S       
125; 5G1039 _MMGD ;0; S       
126; 5G1042 _MMGD ;0; S       
127; 5G1052 _MMGD ;0; S       
128; 5G1062 _MMGD ;0; S       
129; 5G1093 _MMGD ;0; SE      
130; 5G1121 _MMGD ;0; SE      
131; 5G1128 _MMGD ;0; SE      
132; 5G1129 _MMGD ;0; SE      
133; 5G1130 _MMGD ;0; SE      
134; 5G1131 _MMGD ;0; SE      
135; 5G1132 _MMGD ;0; SE      
136; 5G1133 _MMGD ;0; SE      
137; 5G1134 _MMGD ;0; SE      
138; 5G1135 _MMGD ;0; SE      
139; 5G1136 _MMGD ;0; SE      
140; 5G1138 _MMGD ;0; SE      
141; 5G1139 _MMGD ;0; SE      
142; 5G1140 _MMGD ;0; SE      
143; 5G1141 _MMGD ;0; S       
144; 5G1142 _MMGD ;0; SE      
145; 5G1144 _MMGD ;0; SE      
146; 5G1145 _MMGD ;0; SE      
147; 5G1146 _MMGD ;0; SE      
148; 5G1147 _MMGD ;0; SE      
149; 5G1148 _MMGD ;0; SE      
150; 5G1182 _MMGD ;0; S       
151; 5G1185 _MMGD ;0; S       
152; 5G1187 _MMGD ;0; S       
153; 5G1189 _MMGD ;0; S       
154; 5G1195 _MMGD ;0; S       
155; 5G1196 _MMGD ;0; S       
156; 5G1197 _MMGD ;0; S       
157; 5G1201 _MMGD ;0; S       
158; 5G1205 _MMGD ;0; S       
159; 5G1207 _MMGD ;0; S       
160; 5G1208 _MMGD ;0; S       
161; 5G1214 _MMGD ;0; S       
162; 5G1220 _MMGD ;0; S       
163; 5G1221 _MMGD ;0; S       
164; 5G1226 _MMGD ;0; S       
165; 5G1229 _MMGD ;0; S       
166; 5G1232 _MMGD ;0; S       
167; 5G1235 _MMGD ;0; S       
168; 5G1240 _MMGD ;0; S       
169; 5G1245 _MMGD ;0; S       
170; 5G1251 _MMGD ;0; S       
171; 5G1253 _MMGD ;0; S       
172; 5G1266 _MMGD ;0; S       
173; 5G1269 _MMGD ;0; S       
174; 5G1271 _MMGD ;0; S       
175; 5G1277 _MMGD ;0; S       
176; 5G1279 _MMGD ;0; S       
177; 5G1282 _MMGD ;0; S       
178; 5G1284 _MMGD ;0; S       
179; 5G1285 _MMGD ;0; S       
180; BCPCPM _CJLA ;0; S       
181; 5G1289 _MMGD ;0; S       
182; 5G1290 _MMGD ;0; S       
183; 5G1292 _MMGD ;0; S       
184; 5G1295 _MMGD ;0; S       
185; 5G1298 _MMGD ;0; S       
186; 5G1304 _MMGD ;0; S       
187; 5G1305 _MMGD ;0; S       
188; 5G1306 _MMGD ;0; S       
189; 5G1309 _MMGD ;0; S       
190; 5G1310 _MMGD ;0; S       
191; 5G1311 _MMGD ;0; S       
192; 5G1314 _MMGD ;0; S       
193; 5G1324 _MMGD ;0; S       
194; 5G1328 _MMGD ;0; S       
195; D3COOP _Coop ;0; S       
196; 5G1331 _MMGD ;0; S       
197; D3RFAP _REFA ;0; S       
198; 5G1343 _MMGD ;0; S       
199; D3MERC _Merc ;0; S       
200; 3RUECI _CIDR ;0; S       
201; 5G1352 _MMGD ;0; S       
202; 5G1360 _MMGD ;0; S       
203; 5G1362 _MMGD ;0; S       
204; EFLBA  _CJLB ;0; S       
205; EFLBA  _CJLB ;0; S       
206; EFLBA  _CJLB ;0; S       
207; D3SALT _Salt ;0; S       
208; 5G1387 _MMGD ;0; S       
209; 5G1388 _MMGD ;0; S       
210; 5G1389 _MMGD ;0; S       
211; 5G1393 _MMGD ;0; SE      
212; 5G1397 _MMGD ;0; SE      
213; 5G1398 _MMGD ;0; SE      
214; 5G1399 _MMGD ;0; SE      
215; 5G1474 _MMGD ;0; SE      
216; 5G1477 _MMGD ;0; SE      
217; 5G1478 _MMGD ;0; SE      
218; 5G1480 _MMGD ;0; SE      
219; 5G1481 _MMGD ;0; SE      
