PeriodoInicial;PeriodoFinal;CodigoUsina;NomeUsina;Variavel;Linf;Lsup
I;F;326; JAGUATIRICA   ;GER;0;126
I;F;327; M.C. SUCUBA   ;GER;0;38
I;F;328; PALMAPLAN     ;GER;0;     -     
I;F;329; PAU RAINHA    ;GER;5;10
I;F;330; SANTA LUZ     ;GER;5;10
I;F;334; W ARJONA      ;GER;0;177
I;F;383; ATLANTICO     ;GER;330;330
I;F;434; W ARJONA 2    ;GER;0;0
I;F;91; MACHADINHO    ;GER;220;380
I;F;18; A. VERMELHA   ;TURB;800;     -     
I;F;228; COLIDER       ;TURB;630;     -     
I;F;115; G.P. SOUZA    ;TURB;2.4;     -     
I;F;57; MAUA          ;TURB;     -     ;0
I;F;119; HENRY BORDEN  ;TURB;     -     ;6
I;F;229; TELES PIRES   ;TURB;390;     -     
I;F;288; BELO MONTE    ;TURB;300;     -     
I;F;178; XINGO         ;TURB;     -     ;1888
I;F;89; GARIBALDI     ;TURB;116;     -     
I;F;262; SALTO         ;TURB;79;     -     
I;F;227; SINOP         ;TURB;413;     -     
I;F;227; SINOP         ;TURB;1300;     -     
I;F;33; SAO SIMAO     ;TURB;910;     -     
I;F;287; STO ANTONIO   ;TURB;7104;     -     
I;F;88; SAO ROQUE     ;TURB;56;     -     
I;F;43; TRES IRMAOS   ;TURB;180;     -     
I;F;48; PIRAJU        ;TURB;90;     -     
I;F;91; MACHADINHO    ;TURB;250;     -     
I;F;87; CANASTRA      ;TURB;     -     ;11.6
I;F;278; MANSO         ;TURB;     -     ;271.92
I;F;285; JIRAU         ;TURB;14014;     -     
17;33;101; SAO JOSE      ;VERT;     -     ;9745
I;F;126; PICADA        ;VERT;1;     -     
I;F;46; P. PRIMAVERA  ;VERT;3;     -     
I;F;46; P. PRIMAVERA  ;VERT;     -     ;38626
I;F;37; BARRA BONITA  ;VERT;75;     -     
I;F;40; PROMISSAO     ;VERT;160;     -     
I;F;275; TUCURUI       ;VERT;     -     ;105212
I;F;112; JACUI         ;VERT;30;     -     
I;F;112; JACUI         ;VERT;     -     ;6926.47
I;F;115; G.P. SOUZA    ;VERT;     -     ;140
I;F;57; MAUA          ;VERT;18.8;     -     
I;F;71; STA CLARA PR  ;VERT;6.47;     -     
I;F;72; FUNDAO        ;VERT;6.92;     -     
I;F;74; G.B. MUNHOZ   ;VERT;     -     ;0
I;F;162; QUEIMADO      ;VERT;1;     -     
I;F;143; AIMORES       ;VERT;16;     -     
I;F;217; ROSAL         ;VERT;2.1;     -     
I;F;27; CAPIM BRANC1  ;VERT;7;     -     
I;F;27; CAPIM BRANC1  ;VERT;     -     ;880
I;F;134; SALTO GRANDE  ;VERT;3.5;     -     
I;F;97; CASTRO ALVES  ;VERT;17;     -     
I;F;99; 14 DE JULHO   ;VERT;28.22;     -     
I;F;98; MONTE CLARO   ;VERT;18.6;     -     
I;F;215; SALTO PILAO   ;VERT;7.2;     -     
I;F;175; P.AFONSO 4    ;VERT;     -     ;7500
I;F;174; P.AFONSO 123  ;VERT;     -     ;14356
I;F;195; JAURU         ;VERT;1;     -     
I;F;286; STO ANT JARI  ;VERT;45;     -     
I;F;90; CAMPOS NOVOS  ;VERT;     -     ;11167.5
I;F;77; SLT.SANTIAGO  ;VERT;     -     ;17000
I;F;9; JAGUARA       ;VERT;     -     ;12905
I;F;26; MIRANDA       ;VERT;     -     ;6571
I;F;276; RONDON II     ;VERT;8.5;     -     
I;F;102; PASSO S JOAO  ;VERT;18;     -     
I;F;153; SAO DOMINGOS  ;VERT;4.76;     -     
I;F;192; GUILMAN-AMOR  ;VERT;0.8;     -     
I;F;103; FOZ CHAPECO   ;VERT;75;     -     
I;F;120; JAGUARI       ;VERT;     -     ;32
I;F;12; P. COLOMBIA   ;VERT;     -     ;14222.22
I;F;30; CORUMBA I     ;VERT;     -     ;5100
I;F;8; ESTREITO      ;VERT;     -     ;10830
I;F;196; GUAPORE       ;VERT;3;     -     
I;F;181; SANTANA       ;VERT;     -     ;30
I;F;47; A.A. LAYDNER  ;VERT;     -     ;0
I;F;49; CHAVANTES     ;VERT;     -     ;0
I;F;61; CAPIVARA      ;VERT;     -     ;0
I;F;50; L.N. GARCEZ   ;VERT;     -     ;5638
I;F;281; PONTE PEDRA   ;VERT;9.7;     -     
I;F;89; GARIBALDI     ;VERT;13;     -     
I;F;227; SINOP         ;VERT;     -     ;0
I;F;287; STO ANTONIO   ;VERT;40;     -     
I;F;127; SOBRAGI       ;VERT;2;     -     
I;F;310; DARDANELOS    ;VERT;21;     -     
I;F;228; COLIDER       ;VERT;     -     ;1600
I;F;288; BELO MONTE    ;VERT;     -     ;0
I;F;121; PARAIBUNA     ;VOL;1054.4;     -     
I;F;122; SANTA BRANCA  ;VOL;123.2;     -     
I;F;120; JAGUARI       ;VOL;396.5;     -     
I;F;123; FUNIL         ;VOL;181.5;     -     
