Codigo;Nome;Barra;Submercado
77; 5G853  _MMGD ;853; S       
78; 5G854  _MMGD ;854; S       
79; 5G855  _MMGD ;855; S       
80; 5G857  _MMGD ;857; S       
81; 5G858  _MMGD ;858; S       
82; 5G859  _MMGD ;859; S       
83; 5G861  _MMGD ;861; S       
84; 5G862  _MMGD ;862; S       
85; 5G863  _MMGD ;863; S       
86; 5G864  _MMGD ;864; S       
87; 5G865  _MMGD ;865; S       
88; 5G866  _MMGD ;866; S       
89; 5G867  _MMGD ;867; S       
90; 5G869  _MMGD ;869; S       
91; 5G870  _MMGD ;870; S       
92; 5G871  _MMGD ;871; S       
93; 5G874  _MMGD ;874; S       
94; 5G875  _MMGD ;875; S       
95; 5G879  _MMGD ;879; S       
96; 5G880  _MMGD ;880; S       
97; 5G881  _MMGD ;881; S       
98; 5G882  _MMGD ;882; S       
99; 5G883  _MMGD ;883; S       
100; 5G885  _MMGD ;885; S       
101; 5G887  _MMGD ;887; S       
102; 5G888  _MMGD ;888; S       
103; 5G890  _MMGD ;890; S       
104; 5G892  _MMGD ;892; S       
105; 5G893  _MMGD ;893; S       
106; 5G894  _MMGD ;894; S       
107; 5G899  _MMGD ;899; S       
108; 5G948  _MMGD ;948; S       
109; D4MOIO _Moin ;958; S       
110; D4OURO _Ouro ;958; S       
111; D5TUPI _Tupi ;958; S       
112; 5G967  _MMGD ;967; S       
113; D4ALTG _Alto ;967; S       
114; D4MARU _Maru ;967; S       
115; COUHMP _PCH  ;984; S       
116; 5G986  _MMGD ;986; S       
117; D4NOVA _Nova ;1008; S       
118; D4TUBR _Tuba ;1008; S       
119; D5TUBA _Tuba ;1008; S       
120; 5G1014 _MMGD ;1014; SE      
121; 5G1019 _MMGD ;1019; SE      
122; 5G1023 _MMGD ;1023; S       
123; 5G1024 _MMGD ;1024; S       
124; 5G1035 _MMGD ;1035; S       
125; 5G1039 _MMGD ;1039; S       
126; 5G1042 _MMGD ;1042; S       
127; 5G1052 _MMGD ;1052; S       
128; 5G1062 _MMGD ;1062; S       
129; 5G1093 _MMGD ;1093; SE      
130; 5G1121 _MMGD ;1121; SE      
131; 5G1128 _MMGD ;1128; SE      
132; 5G1129 _MMGD ;1129; SE      
133; 5G1130 _MMGD ;1130; SE      
134; 5G1131 _MMGD ;1131; SE      
135; 5G1132 _MMGD ;1132; SE      
136; 5G1133 _MMGD ;1133; SE      
137; 5G1134 _MMGD ;1134; SE      
138; 5G1135 _MMGD ;1135; SE      
139; 5G1136 _MMGD ;1136; SE      
140; 5G1138 _MMGD ;1138; SE      
141; 5G1139 _MMGD ;1139; SE      
142; 5G1140 _MMGD ;1140; SE      
143; 5G1141 _MMGD ;1141; S       
144; 5G1142 _MMGD ;1142; SE      
145; 5G1144 _MMGD ;1144; SE      
146; 5G1145 _MMGD ;1145; SE      
147; 5G1146 _MMGD ;1146; SE      
148; 5G1147 _MMGD ;1147; SE      
149; 5G1148 _MMGD ;1148; SE      
150; 5G1182 _MMGD ;1182; S       
151; 5G1185 _MMGD ;1185; S       
152; 5G1187 _MMGD ;1187; S       
153; 5G1189 _MMGD ;1189; S       
154; 5G1195 _MMGD ;1195; S       
155; 5G1196 _MMGD ;1196; S       
156; 5G1197 _MMGD ;1197; S       
157; 5G1201 _MMGD ;1201; S       
158; 5G1205 _MMGD ;1205; S       
159; 5G1207 _MMGD ;1207; S       
160; 5G1208 _MMGD ;1208; S       
161; 5G1214 _MMGD ;1214; S       
162; 5G1220 _MMGD ;1220; S       
163; 5G1221 _MMGD ;1221; S       
164; 5G1226 _MMGD ;1226; S       
165; 5G1229 _MMGD ;1229; S       
166; 5G1232 _MMGD ;1232; S       
167; 5G1235 _MMGD ;1235; S       
168; 5G1240 _MMGD ;1240; S       
169; 5G1245 _MMGD ;1245; S       
170; 5G1251 _MMGD ;1251; S       
171; 5G1253 _MMGD ;1253; S       
172; 5G1266 _MMGD ;1266; S       
173; 5G1269 _MMGD ;1269; S       
174; 5G1271 _MMGD ;1271; S       
175; 5G1277 _MMGD ;1277; S       
176; 5G1279 _MMGD ;1279; S       
177; 5G1282 _MMGD ;1282; S       
178; 5G1284 _MMGD ;1284; S       
179; 5G1285 _MMGD ;1285; S       
180; BCPCPM _CJLA ;1288; S       
181; 5G1289 _MMGD ;1289; S       
182; 5G1290 _MMGD ;1290; S       
183; 5G1292 _MMGD ;1292; S       
184; 5G1295 _MMGD ;1295; S       
185; 5G1298 _MMGD ;1298; S       
186; 5G1304 _MMGD ;1304; S       
187; 5G1305 _MMGD ;1305; S       
188; 5G1306 _MMGD ;1306; S       
189; 5G1309 _MMGD ;1309; S       
